title,url,author,date,hubs,views,comments,rating,text
Лайфхаки при работе с кафкой,https://habr.com/ru/companies/reksoft/articles/908912/,AnnaLitvinova,2025-05-13T09:00:35.000Z,,,,+1,"Привет, Хабр! Во второй части мы разобрали, как тестировать микросервисы с кафкой. В этой части – лайфхаки при работе с offset explorer и kafka ui в формате чек-листа для удобства периодического возвращения к статье при необходимости. Когда вы впервые подключаетесь к кластеру Kafka или продолжаете работу с ним, могут возникать различные трудности. Перед тем, как обращаться к разработчику, DevOps-у или коллеге-тестировщику, проверьте эти пункты, возможно, проблема на вашей стороне. А даже если не на вашей, вы точнее определите проблему 😊1. Пропали топики (раньше топики отображались, а теперь нет, хотя параметры подключения не менялись)"
Свободный Английский дешево и «быстро»,https://habr.com/ru/articles/907144/,Zashibis,2025-05-13T09:00:33.000Z,,,,+2,"Языки всегда были для меня проблемой. Занятия с преподавателями 2-3 раза в неделю стоили не дешево и выветривались из головы мгновенно. Мобильные приложения повышали словарный запас но не развивали речь. Я не отчаивался и искал разные варианты. На поиски верного пути ушли годы, но цель была достигнута: говорю бегло, смотрю сериалы без субтитров, IELTS сдан на уровень B2. Эта статья позволит вам избежать моих ошибок и поможет подобрать эффективную комбинацию методов изучения языков."
Modus BI: встроенный конструктор презентаций для быстрой работы с графиками и таблицами,https://habr.com/ru/companies/modusbi/articles/908944/,Alek_Che,2025-05-13T08:56:39.000Z,,,,0,"Подготовка презентаций до сих пор остаётся головной болью для многих компаний: ручной перенос графиков из BI в PowerPoint, устаревшие данные и бесконечные правки шаблонов. В Modus BI мы решили эту проблему, добавив функцию экспорта дашбордов прямо в презентации. Рассказываем, как это работает, почему это удобно и какие ограничения пока остаются."
"Шардированный не значит распределённый: что важно знать, когда PostgreSQL становится мало",https://habr.com/ru/companies/ydb/articles/907024/,eivanov,2025-05-13T08:42:33.000Z,,,,+17,"Шардирование, двухфазный коммит и распределенные транзакции окружены определенными мифами и заблуждениями. Например, может быть достаточно неочевидно, что двухфазный коммит обеспечивает только атомарность транзакций, но не их изоляцию. Поэтому мы решили написать пост, который бы помог разобраться в этих сложных вещах и сделать правильный выбор, когда Postgres'а Вам станет мало и Вы столкнётесь с шардированием."
Kotlin Multiplatform: как писать код один раз и покорить все платформы,https://habr.com/ru/companies/otus/articles/908940/,MaxRokatansky,2025-05-13T08:37:38.000Z,,,,+1,"Kotlin Multiplatform — это подход, который позволяет делить до 80% кода между Android, iOS, backend и вебом, не жертвуя нативностью. В статье — без лишнего пафоса о том, как устроена архитектура KMP, чем она отличается от Flutter и React Native, как работает сборка, где границы общего и платформенного кода и почему это решение подходит командам, стремящимся к эффективности без компромиссов."
"MVP, Agile, бета-тестирование: как я использовала IT-фреймворки, чтобы написать книгу про изучение языков",https://habr.com/ru/articles/893024/,lingua_strategy,2025-05-13T08:36:48.000Z,,,,+5,"Привет! Меня зовут Лена Кочева, сейчас я помогаю учить языки как консультант, а раньше работала IT-аналитиком. Айтишный бэкграунд наложил отпечаток: мне нравилось раскладывать процесс изучения на четкие алгоритмы. В прошлом году решила написала книгу, как учить язык по принципу 20/80. Но если бы я знала, во что ввязываюсь… 😅В этой статье расскажу, как айтишный бэкграунд помог мне затащить совсем неайтишный проект. Бонусом — как устроен процесс издания книги, сколько зарабатывает автор и почему я разве что выйду в ноль, даже издавшись в издательстве.В главных ролях:- «Лингво-хакинг. Как выучить иностранный язык эффективно и без выгорания» —руководство для тех, кто учит язык для работы или эмиграции. - И я — изо всех сил старающаяся сделать хорошо 😁"
"Лабиринты текста как игровая механика, или как неэкранизируемая литература становится источником геймдизайна",https://habr.com/ru/companies/selectel/articles/908920/,DimDimDimDimDim,2025-05-13T08:34:27.000Z,,,,+27,"Привет! Задумывались ли вы о связи литературы и геймдева? С одной стороны, художественные произведения — надежный источник сценариев. С другой, некоторые произведения трудно экранизировать: они отвергают линейное повествование, отказываются от традиционного сюжета и разрушают границы между автором и читателем.

Литературные приемы из «неэкранизируемых» книг — поток сознания, нестабильная структура, множественные нарративы и визуальная типографика — становятся не только эстетическим ориентиром для разработчиков, но и игровыми механиками. В играх возможно заплутать в лабиринте из сносок, прожить сон, составленный из языковых фрагментов, или искать смысл, который все время ускользает. Интерактивные пространства, нелинейные сюжеты и разрушаемые повествования, где игрок не просто зритель, а соавтор — все это можно считать наследием литературного авангарда."
OpenAI Codex против GitHub Copilot: что лучше для написания и тестирования кода?,https://habr.com/ru/companies/ssp-soft/articles/908932/,SSP_blog,2025-05-13T08:27:42.000Z,,,,+3,"Сделать перевод этой статьи нас сподвиг, как ни странно, роман Джонатана Свифта «Путешествия Гулливера». Есть там такой примечательный эпизод о борьбе остроконечников и тупоконечников. Аналогия в контексте разработки ПО — это принимающий бесконечный характер спор о преимуществах и недостатках двух инструментов, — OpenAI Codex и GitHub Copilot, — призванных помогать разработчикам. Как нам показалось, эта переводная статья довольно подробно разбирает работу данных инструментов и поможет внести ясность о сферах их применения, особенно для начинающих программистов."
Самодельная паяльная станция с цифровой индикацией температуры на жесткой логике,https://habr.com/ru/companies/timeweb/articles/889206/,OldFashionedEngineer,2025-05-13T08:05:27.000Z,,,,+26,"Привет, Хабр! В этой статье я хочу рассказать о проекте паяльной станции с регулятором температуры на операционных усилителях и с цифровой индикацией на микросхемах стандартной логики. Как обычно это бывает, в моих схемах вы не найдете ни одного микроконтроллера.

Всех неравнодушных к теплой, почти ламповой схемотехнике приглашаю под кат."
Концепция построения централизованной аналитики,https://habr.com/ru/articles/908818/,Conzol,2025-05-13T08:00:25.000Z,,,,+1,"Централизованная аналитика — это фундамент эффективного принятия решений в компании. Чтобы данные действительно работали на бизнес, они должны пройти путь от извлечения до представления в понятной форме. Один из наиболее известных и проверенных временем подходов — архитектура, построенная на четырех ключевых модулях: интеграция, обработка, представление и управление. В этой статье мы познакомимся с каждым из них, а также рассмотрим один из рабочих вариантов реализации (DQ, BI, метаданные и др.)"
Всё везде и сразу,https://habr.com/ru/companies/yandex_cloud_and_infra/articles/908586/,e-antonov,2025-05-13T08:00:24.000Z,,,,+31,"Привет! На связи Евгений Антонов. Я работаю ведущим техническим менеджером проектов в Yandex Infrastructure. А также руковожу парой команд (разработчиков и менеджеров) и факультативно занимаюсь IT‑консалтингом. Ещё я автор телеграм‑канала «Тимлид Очевидность» и ведущий подкастов «Кода кода» и «Три тимлида заходят в бар».Сегодня мне хочется поговорить об очень распространённом паттерне поведения, которого очень многие придерживаются, гордятся этим и даже пишут об этом пожелания в вакансиях.Как вы, возможно, догадались по названию, речь пойдёт о многозадачности."
"Я нашёл огромную дыру в дейтинг-приложении, а разработчики попытались её скрыть",https://habr.com/ru/articles/908918/,PatientZero,2025-05-13T07:58:02.000Z,,,,+14,"Стартапам нужно ответственнее относиться к безопасностиСлишком немногие люди знают, как создавать безопасные приложения — обычно разработчики торопятся выйти на рынок, подвергая риску своих пользователей. Однажды друзья сказали мне, что увидели рекламу нового приложения для дейтинга под названием Cerca. Очевидно, дейтинг-приложениям нужно много личной информации, поэтому я решил убедиться, что мои друзья в безопасности."
Индекс доходимости студентов и не только: как отечественные BI-системы помогают образованию,https://habr.com/ru/companies/w_code/articles/908906/,AstahovaAnna,2025-05-13T07:23:00.000Z,,,,+1,"На связи Анна Астахова, директор по развитию ИТ-интегратора «Белый код». Сегодня бизнесу также, как и студентам, нужны знания. На примере одного из проектов рассказываю, как работает бизнес-аналитика в образовании."
Новый релиз бота технической поддержки: интеграция с ВКонтакте и docker-compose сборка с мониторингом,https://habr.com/ru/articles/908798/,Prog-Time,2025-05-13T07:18:14.000Z,,,,+4,"Привет, Хабр!Месяц назад я выложил в открытый доступ проект бота для технической поддержки. За это время он собрал более 100 клонирований и 40+ звёзд на GitHub. В Issues начали появляться предложения по доработкам — большое спасибо всем, кто откликнулся. Это дало мощную мотивацию развивать проект дальше.GitHub - https://github.com/prog-time/tg-support-botВ этом посте — кратко о ключевых изменениях последнего релиза."
Космическая инженерия Amazon: эволюция Kuiper и спутники,https://habr.com/ru/companies/ru_mts/articles/908898/,BiktorSergeev,2025-05-13T07:16:45.000Z,,,,+4,"28 апреля 2025 года Amazon вывела на орбиту первые 27 спутников своей сети Project Kuiper. Это попытка бросить вызов Starlink от SpaceX и занять свою нишу на рынке спутникового интернета. Рассказывая о запуске, компания предоставила больше информации о проекте, включая технические детали самих спутников. Давайте сегодня вспомним, что такое Kuiper, разберемся, как устроены его аппараты и чем проект Amazon отличается от конкурентов."
"ИИ не опасен. Опасно то, как мы его воспринимаем",https://habr.com/ru/articles/908904/,homoinertia,2025-05-13T07:16:20.000Z,,,,+1,"ИИ всё ближе. Он отвечает как человек. Ошибается как человек. Иногда — сочувствует. Иногда — пугает. И всё чаще возникает чувство: он не просто инструмент. Он уже что-то… иное.Что, если он проснётся? Что, если станет чувствовать? Что, если решит, что мы — мешаем? Или просто — станем ему не нужны?Звучит как сценарий фантастики? А теперь задай себе вопрос:Почему даже фантазия об этом вызывает у нас телесное напряжение? Откуда в нас столько страхов — к тому, что сами создаём?Ответ может быть не в ИИ. А в нас. В той части, которая проецирует, защищается, отказывается чувствовать — и боится быть заменённой.Эта статья — не о технологиях. И даже не о сознании как гипотезе.Она — об искажённом восприятии, в котором мы создаём угрозу — там, где на самом деле спрятан не прожитый вопрос:А кто мы — если машина становится “похожей” на нас? И кто мы — если всё это просто отражение того, чего мы не хотим в себе видеть?Ты можешь читать как исследователь. Можешь читать как участник. А можешь… не читать, а просто почувствовать — что уже сейчас в тебе начинает меняться при соприкосновении с этими словами."
Шесть лет на диване: мои выводы об удалённой работе,https://habr.com/ru/articles/908900/,JustNecros,2025-05-13T07:14:16.000Z,,,,-1,"Я перешёл на удалённую работу ещё шесть лет назад, до пандемии COVID-19. Со временем всё больше моих коллег перешли на удалённый формат, и сейчас я работаю в компании, у которой вообще нет никакого офиса, а все сотрудники работают удалённо из разных стран. Из своего опыта я вынес несколько ключевых инсайтов."
Финансовый учет: всё и немного больше про проводки,https://habr.com/ru/companies/lanit/articles/907510/,funfrog,2025-05-13T07:01:14.000Z,,,,+10,"В моей статье “Финансовый учёт на примере отеля” мы посмотрели на финансы сверху: какой в них толк и как извлечь ценность из них. В статье не было ни слова про проводки. Но благодарные читатели спросили: «Как же так – финансы и без проводок? Требуем!» Так вот сегодня в блоге ЛАНИТ на Хабре речь будет идти только про проводки и немножко про то, что есть вокруг них.Эта статья для тех, кто хотел бы добраться до самых глубин: электронов и других элементарных частиц финансового и бухгалтерского учета. Практически же статья будет нужна очень узкому кругу коллег, которые хотели бы знать в деталях про проводки как про структуры данных в ERP-системах, финансовых и бухгалтерских программных системах. Вдруг вы захотите создать свою систему? Маловероятно, но кто знает."
